Date,Day,Month,Year,Julian Day,Species,Plot,Sex,Weight,
7/16/2013,16,7,2013,197,DM,2,F,NA,
7/16/2013,16,7,2013,197,DM,7,M,33,
7/16/2013,16,7,2013,197,DM,3,M,NA,
7/16/2013,16,7,2013,197,DM,1,M,NA,
7/18/2013,18,7,2013,199,DM,3,M,40,
7/18/2013,18,7,2013,199,DM,7,M,48,
7/18/2013,18,7,2013,199,DM,4,F,29,
7/18/2013,18,7,2013,199,DM,4,F,46,
7/18/2013,18,7,2013,199,DM,7,M,36,
7/18/2013,18,7,2013,199,DM,7,F,35,
7/18/2013,18,7,2013,199,DM,8,F,22,
7/18/2013,18,7,2013,199,DM,7,F,42,
7/18/2013,18,7,2013,199,DM,4,F,41,
7/18/2013,18,7,2013,199,DM,6,F,37,
8/19/2013,19,8,2013,231,DO,8,F,52,
10/17/2013,17,10,2013,290,DO,3,F,33,
10/17/2013,17,10,2013,290,DO,3,F,50,
10/17/2013,17,10,2013,290,DO,17,F,48,
10/17/2013,17,10,2013,290,DO,17,F,31,
10/18/2013,18,10,2013,291,DO,8,F,41,
11/12/2013,12,11,2013,316,DO,1,F,44,
11/12/2013,12,11,2013,316,DO,1,M,48,
11/14/2013,14,11,2013,318,DO,8,F,39,
12/10/2013,10,12,2013,344,DO,9,F,40,
12/10/2013,10,12,2013,344,DO,1,M,45,
12/11/2013,11,12,2013,345,DO,8,F,41,
11/12/2013,12,11,2013,316,DS,9,F,117,
11/12/2013,12,11,2013,316,DS,1,F,121,
11/12/2013,12,11,2013,316,DS,20,M,115,
11/12/2013,12,11,2013,316,DS,9,F,120,
11/13/2013,13,11,2013,317,DS,17,F,118,
11/13/2013,13,11,2013,317,DS,11,F,126,
11/13/2013,13,11,2013,317,DS,17,M,132,
11/13/2013,13,11,2013,317,DS,14,F,113,
11/13/2013,13,11,2013,317,DS,11,F,122,
11/13/2013,13,11,2013,317,DS,4,F,107,
11/13/2013,13,11,2013,317,DS,4,F,115,
1/9/2014,9,1,2014,9,DM,1,M,40,
1/9/2014,9,1,2014,9,DM,1,F,36,
1/9/2014,9,1,2014,9,DS,1,F,135,
1/20/2014,20,1,2014,20,DM,1,F,39,
1/20/2014,20,1,2014,20,DM,1,M,43,
1/20/2014,20,1,2014,20,DS,1,F,144,
3/13/2014,13,3,2014,72,DM,1,F,51,
3/13/2014,13,3,2014,72,DM,1,F,44,
3/13/2014,13,3,2014,72,DS,1,F,146,
1/8/2014,8,1,2014,8,NA,2,NA,NA,
1/8/2014,8,1,2014,8,DM,2,M,44,
1/8/2014,8,1,2014,8,DM,2,M,38,
1/8/2014,8,1,2014,8,OL,2,NA,NA,
1/8/2014,8,1,2014,8,PE,2,M,22,
1/8/2014,8,1,2014,8,DM,2,M,38,
1/8/2014,8,1,2014,8,DM,2,M,48,
1/8/2014,8,1,2014,8,DM,2,M,43,
1/8/2014,8,1,2014,8,DM,2,F,35,
1/8/2014,8,1,2014,8,DM,2,M,43,
1/8/2014,8,1,2014,8,DM,2,F,37,
1/8/2014,8,1,2014,8,PF,2,F,7,
1/8/2014,8,1,2014,8,DM,2,M,45,
1/8/2014,8,1,2014,8,OT,2,NA,NA,
1/8/2014,8,1,2014,8,DS,2,M,157,
1/8/2014,8,1,2014,8,OX,2,NA,NA,
2/18/2014,18,2,2014,49,NA,2,M,218,
2/18/2014,18,2,2014,49,PF,2,F,7,
2/18/2014,18,2,2014,49,DM,2,M,52,
1/8/2015,8,1,2015,8,PF,3,M,7,
2/18/2015,18,2,2015,49,OT,3,M,24,
2/18/2015,18,2,2015,49,OT,3,F,23,
3/11/2015,11,3,2015,70,NA,3,M,232,
3/11/2015,11,3,2015,70,OT,3,F,22,
3/11/2015,11,3,2015,70,OT,3,M,26,
3/11/2015,11,3,2015,70,PF,3,M,8,
4/8/2015,8,4,2015,98,NA,3,F,NA,
5/6/2015,6,5,2015,126,NA,3,NA,NA,
5/18/2015,18,5,2015,138,NA,3,F,182,
6/9/2015,9,6,2015,160,OT,3,F,29,
7/8/2015,8,7,2015,189,NA,3,F,115,
7/8/2015,8,7,2015,189,NA,3,M,190,
1/8/1978,8,1,1978,8,DM,4,F,37,
1/8/1978,8,1,1978,8,DS,4,F,128,
1/8/1978,8,1,1978,8,DM,4,F,42,
1/8/1978,8,1,1978,8,DM,4,M,37,
1/8/1978,8,1,1978,8,DM,4,M,NA,
1/8/1978,8,1,1978,8,DM,4,F,48,
1/8/1978,8,1,1978,8,DM,4,M,45,
1/8/1978,8,1,1978,8,DM,4,F,42,
1/8/1978,8,1,1978,8,DO,4,M,52,
1/8/1978,8,1,1978,8,OL,4,M,35,
